the_month,POA_CODE21,class,kwh,nmi_count
2022-07-01,3835,Commercial,119575.4807,138
2022-07-01,3835,Residential,189351.18,219
2022-07-01,3840,Commercial,2395909.51887,1373
2022-07-01,3840,Industrial,28926524.1343,66
2022-07-01,3840,Residential,4526154.92874,8265
2022-07-01,3842,Commercial,329342.0844,132
2022-07-01,3842,Industrial,390402.3037,11
2022-07-01,3842,Residential,1225044.91804,2271
2022-07-01,3844,Commercial,3313486.8728,1594
2022-07-01,3844,Industrial,3936307.3336,64
2022-07-01,3844,Residential,7080735.1971,13774
2022-07-01,3847,Commercial,402965.10739,284
2022-07-01,3847,Industrial,227821.50199999998,6
2022-07-01,3847,Residential,670807.63518,1010
2022-07-01,3850,Commercial,1932391.87639,1080
2022-07-01,3850,Industrial,1477330.812,33
2022-07-01,3850,Residential,3512655.0202,7362
2022-07-01,3851,Commercial,709177.96199,690
2022-07-01,3851,Industrial,810758.654,21
2022-07-01,3851,Residential,2063138.28587,4631
2022-07-01,3852,Commercial,484.84,1
2022-07-01,3852,Industrial,916755.2,1
2022-07-01,3852,Residential,4561.178,8
2022-07-01,3854,Commercial,101621.8538,108
2022-07-01,3854,Residential,477314.1127,580
2022-07-01,3856,Commercial,34074.6377,26
2022-07-01,3856,Industrial,107047.704,4
2022-07-01,3856,Residential,331751.2195,418
2022-07-01,3857,Commercial,39721.5567,70
2022-07-01,3857,Residential,120754.629,142
2022-07-01,3858,Commercial,575149.8598,432
2022-07-01,3858,Industrial,747654.928,17
2022-07-01,3858,Residential,1097189.6702999999,1461
2022-07-01,3859,Commercial,423188.228,231
2022-07-01,3859,Industrial,30389.363999999998,4
2022-07-01,3859,Residential,317021.463,337
2022-07-01,3860,Commercial,972412.69793,637
2022-07-01,3860,Industrial,608478.216,16
2022-07-01,3860,Residential,1976267.4485,3569
2022-07-01,3862,Commercial,271531.08640000003,283
2022-07-01,3862,Industrial,54276.683999999994,3
2022-07-01,3862,Residential,1208886.903,1594
2022-07-01,3864,Commercial,44231.297699999996,40
2022-07-01,3864,Residential,64010.4728,101
2022-07-01,3865,Commercial,71598.8711,66
2022-07-01,3865,Industrial,153254.778,4
2022-07-01,3865,Residential,177571.869,218
2022-07-01,3869,Commercial,89475.3277,96
2022-07-01,3869,Residential,640768.246,803
2022-07-01,3870,Commercial,65326.2797,85
2022-07-01,3870,Residential,449486.9742,619
2022-07-01,3871,Commercial,256943.3846,262
2022-07-01,3871,Industrial,71327.54000000001,4
2022-07-01,3871,Residential,1057466.6881,1359
2022-07-01,3873,Commercial,38620.08771,37
2022-07-01,3873,Residential,101825.05799,146
2022-07-01,3874,Commercial,99344.0405,105
2022-07-01,3874,Residential,203579.49971,419
2022-07-01,3875,Commercial,2397873.18219,1651
2022-07-01,3875,Industrial,4139685.4547,49
2022-07-01,3875,Residential,6236538.09047,9249
2022-07-01,3878,Commercial,53897.271199999996,26
2022-07-01,3878,Residential,384014.7069,732
2022-07-01,3880,Commercial,234219.0067,171
2022-07-01,3880,Industrial,120425.96,2
2022-07-01,3880,Residential,1393556.0895,2806
2022-07-01,3882,Commercial,48203.036700000004,36
2022-07-01,3882,Residential,424166.8704,576
2022-07-01,3885,Commercial,153845.835,185
