the_month,LGA_NAME23,class,kwh,nmi_count
2022-10-01,Frankston,Industrial,309377.9168,5
2022-10-01,Frankston,Residential,18876.824,24
2022-10-01,Greater Dandenong,Commercial,222405.3617,85
2022-10-01,Greater Dandenong,Industrial,691324.4762,11
2022-10-01,Greater Dandenong,Residential,3973.242,4
2022-10-01,Greater Shepparton,Commercial,4744.184,5
2022-10-01,Greater Shepparton,Residential,3721.0478000000003,7
2022-10-01,Hume,Commercial,98063.6139,44
2022-10-01,Hume,Industrial,1272149.3051,16
2022-10-01,Hume,Residential,664394.164,2721
2022-10-01,Indigo,Commercial,1522830.0269,1337
2022-10-01,Indigo,Industrial,3170392.2245,18
2022-10-01,Indigo,Residential,3658468.0588,7755
2022-10-01,Knox,Commercial,8531421.663,6250
2022-10-01,Knox,Industrial,19948985.5458,282
2022-10-01,Knox,Residential,17437010.6184,53241
2022-10-01,Latrobe (Vic.),Commercial,6233547.8492,4096
2022-10-01,Latrobe (Vic.),Industrial,31736706.6164,175
2022-10-01,Latrobe (Vic.),Residential,13583852.1851,35866
2022-10-01,Macedon Ranges,Commercial,43.481,1
2022-10-01,Macedon Ranges,Residential,1865.474,3
2022-10-01,Manningham,Commercial,703861.4546,373
2022-10-01,Manningham,Industrial,105242.95999999999,3
2022-10-01,Manningham,Residential,3141643.467,5092
2022-10-01,Mansfield,Commercial,1210793.5091,959
2022-10-01,Mansfield,Industrial,528150.2287,12
2022-10-01,Mansfield,Residential,2817136.2614,6419
2022-10-01,Maroondah,Commercial,6268497.5871,4758
2022-10-01,Maroondah,Industrial,15727025.4695,210
2022-10-01,Maroondah,Residential,15273657.7206,47217
2022-10-01,Mitchell,Commercial,2471515.404,1785
2022-10-01,Mitchell,Industrial,4684303.1649,88
2022-10-01,Mitchell,Residential,7864264.9153,19894
2022-10-01,Moira,Commercial,22552.962199999998,68
2022-10-01,Moira,Industrial,26922.23,1
2022-10-01,Moira,Residential,103866.14170000001,198
2022-10-01,Murrindindi,Commercial,1770964.1421,1556
2022-10-01,Murrindindi,Industrial,898344.2871,27
2022-10-01,Murrindindi,Residential,4175631.0302,8174
2022-10-01,Nillumbik,Commercial,2697190.728,1704
2022-10-01,Nillumbik,Industrial,4073824.7419000003,54
2022-10-01,Nillumbik,Residential,11045274.9218,22731
2022-10-01,Snowy Valleys,Residential,387.831,3
2022-10-01,South Gippsland,Commercial,4599560.1395,3455
2022-10-01,South Gippsland,Industrial,8049786.7808,57
2022-10-01,South Gippsland,Residential,7662746.3016,17099
2022-10-01,Strathbogie,Commercial,1268573.8087,1295
2022-10-01,Strathbogie,Industrial,895877.5029,31
2022-10-01,Strathbogie,Residential,2394759.5648,5605
2022-10-01,Towong,Commercial,965239.7765,916
2022-10-01,Towong,Industrial,239198.844,8
2022-10-01,Towong,Residential,1495699.6588,3168
2022-10-01,Unincorporated Vic,Commercial,1160581.1722,595
2022-10-01,Unincorporated Vic,Industrial,427897.054,17
2022-10-01,Unincorporated Vic,Residential,452684.2465,1586
2022-10-01,Wangaratta,Commercial,2903124.0513,2613
2022-10-01,Wangaratta,Industrial,7668996.682,70
2022-10-01,Wangaratta,Residential,5264282.5565,13863
2022-10-01,Wellington,Commercial,6533112.4641,4632
2022-10-01,Wellington,Industrial,6494603.875,113
2022-10-01,Wellington,Residential,9049120.172,23491
2022-10-01,Whitehorse,Residential,5483.373,17
2022-10-01,Whittlesea,Commercial,10914660.0139,6720
2022-10-01,Whittlesea,Industrial,28588162.1499,375
2022-10-01,Whittlesea,Residential,26847560.6991,85681
2022-10-01,Wodonga,Commercial,2735714.2678,1852
2022-10-01,Wodonga,Industrial,13145209.2022,114
2022-10-01,Wodonga,Residential,5974925.87,18825
2022-10-01,Yarra Ranges,Commercial,8448771.0821,6232
2022-10-01,Yarra Ranges,Industrial,11571934.433,232
2022-10-01,Yarra Ranges,Residential,25430693.7547,61695
2022-11-01,Alpine,Commercial,1785526.3632,1567
2022-11-01,Alpine,Industrial,2183011.48,23
2022-11-01,Alpine,Residential,3286211.5834,7731
2022-11-01,Banyule,Commercial,1821991.8805,1440
2022-11-01,Banyule,Industrial,3284727.9954999997,58
2022-11-01,Banyule,Residential,7422931.0982,23126
2022-11-01,Bass Coast,Commercial,3288463.4828,2399
2022-11-01,Bass Coast,Industrial,2245670.8187,61
2022-11-01,Bass Coast,Residential,9411483.4771,30075
2022-11-01,Baw Baw,Commercial,5248425.0994,3882
2022-11-01,Baw Baw,Industrial,8896599.7324,104
2022-11-01,Baw Baw,Residential,9427152.2762,25193
2022-11-01,Benalla,Commercial,1149750.1617,1221
2022-11-01,Benalla,Industrial,4250655.630000001,30
2022-11-01,Benalla,Residential,2391372.9144,7098
2022-11-01,Brimbank,Commercial,276.912,1
2022-11-01,Cardinia,Commercial,6908278.3362,4823
2022-11-01,Cardinia,Industrial,11262211.7492,182
2022-11-01,Cardinia,Residential,16268429.2719,44663
2022-11-01,Casey,Commercial,9273738.8683,5591
2022-11-01,Casey,Industrial,18888718.9516,346
2022-11-01,Casey,Residential,32130119.911,110006
2022-11-01,Darebin,Commercial,254616.4373,128
2022-11-01,Darebin,Industrial,917169.7611,20
2022-11-01,Darebin,Residential,774779.5543,2328
2022-11-01,East Gippsland,Commercial,4486734.2199,4026
2022-11-01,East Gippsland,Industrial,5206759.9233,86
2022-11-01,East Gippsland,Residential,9336405.4896,25900
2022-11-01,Federation,Commercial,3.098,1
2022-11-01,Frankston,Commercial,34928.9395,19
2022-11-01,Frankston,Industrial,309772.378,5
2022-11-01,Frankston,Residential,17475.747,26
2022-11-01,Greater Dandenong,Commercial,233122.9883,87
2022-11-01,Greater Dandenong,Industrial,685774.3589999999,11
2022-11-01,Greater Dandenong,Residential,3764.916,4
2022-11-01,Greater Shepparton,Commercial,3861.699,5
2022-11-01,Greater Shepparton,Residential,3126.8644,7
2022-11-01,Hume,Commercial,92951.8568,45
2022-11-01,Hume,Industrial,1258979.317,16
2022-11-01,Hume,Residential,610850.1284,2745
